iter	RMSE
0	0.4201102009
1	0.4055938198
2	0.3916659673
3	0.3788150788
4	0.3665847895
5	0.3553818239
6	0.3448356638
7	0.3349687738
8	0.3252127912
9	0.3168407341
10	0.3076480769
11	0.2991130504
12	0.2915286246
13	0.2844769725
14	0.2774891108
15	0.2706518436
16	0.2647560876
17	0.259000049
18	0.2535696613
19	0.2486165753
20	0.2439069103
21	0.2396405948
22	0.2353369035
23	0.2317794426
24	0.2279298464
25	0.2246348102
26	0.2212863053
27	0.217760876
28	0.2146585148
29	0.2117322434
30	0.209001411
31	0.206586854
32	0.2043241138
33	0.2021613356
34	0.1998572335
35	0.1975186427
36	0.195562843
37	0.1937794227
38	0.1922580343
39	0.1903928225
40	0.1890721757
41	0.1872947521
42	0.1858540168
43	0.1846300224
44	0.1834107056
45	0.182256741
46	0.1810329379
47	0.1799661554
48	0.1787007341
49	0.17798961
50	0.176794712
51	0.175843025
52	0.175178082
53	0.1742386555
54	0.173320372
55	0.1724878497
56	0.1715896657
57	0.1709197934
58	0.1701440744
59	0.1693755689
60	0.1685707333
61	0.1678513911
62	0.1673365893
63	0.1666637347
64	0.166114788
65	0.165675102
66	0.1650261716
67	0.1644413705
68	0.1638280664
69	0.1634617458
70	0.1629721508
71	0.1625097332
72	0.1618704108
73	0.1613457527
74	0.1607728
75	0.1602215435
76	0.1597763972
77	0.1593410933
78	0.158976327
79	0.158771348
80	0.1583300263
81	0.1579375947
82	0.1574864339
83	0.1569757035
84	0.1565975645
85	0.1562966138
86	0.1557360577
87	0.1554025868
88	0.1550288832
89	0.1546649835
90	0.1544074799
91	0.1539705009
92	0.1536435591
93	0.153271466
94	0.1529684825
95	0.1525031349
96	0.1521617653
97	0.1517655734
98	0.1516383766
99	0.151442731
100	0.1512693647
101	0.1509914763
102	0.1507285333
103	0.1504776136
104	0.1500860394
105	0.1500389416
106	0.1497722832
107	0.1494486909
108	0.149219773
109	0.1489710138
110	0.1486822588
111	0.1484537457
112	0.1481548646
113	0.1480451568
114	0.1477076591
115	0.1475670748
116	0.1473732132
117	0.1470373944
118	0.1468332149
119	0.1466559312
120	0.1463976634
121	0.1460053389
122	0.1457902501
123	0.1455402479
124	0.1453935171
125	0.1452512157
126	0.1451426027
127	0.14495438
128	0.1445439507
129	0.1443511481
130	0.144263883
131	0.1440856202
132	0.1437813919
133	0.143459186
134	0.1431139273
135	0.142858554
136	0.1425203728
137	0.1422371592
138	0.1419638173
139	0.1417310719
140	0.1415322636
141	0.1412562735
142	0.1409675988
143	0.1406136009
144	0.1403805844
145	0.1401937456
146	0.1397739616
147	0.139624848
148	0.1394219527
149	0.1392274543
150	0.1389573823
151	0.1386907601
152	0.1383569885
153	0.1380507667
154	0.1378513279
155	0.1375781154
156	0.1375630629
157	0.1372128507
158	0.1369542485
159	0.1367440544
160	0.136499932
161	0.1362889996
162	0.1360623626
163	0.1357591114
164	0.135495853
165	0.1352745445
166	0.1350766549
167	0.1347919433
168	0.1345611815
169	0.1343186831
170	0.1340158121
171	0.1337272044
172	0.1335858509
173	0.133375705
174	0.1331015918
175	0.1328997067
176	0.1326373691
177	0.132315159
178	0.1320546823
179	0.1318666134
180	0.1316171148
181	0.1313674691
182	0.1311069088
183	0.1309689033
184	0.1307871967
185	0.1305772671
186	0.1303966683
187	0.1301655211
188	0.1298532865
189	0.1296505722
190	0.1295048138
191	0.1293666903
192	0.1291855174
193	0.128978484
194	0.1288869451
195	0.1286415709
196	0.1285137415
197	0.12830962
198	0.1281056015
199	0.1279402352
200	0.1277572239
201	0.1275408176
202	0.1272735169
203	0.127010335
204	0.1267145821
205	0.1265283845
206	0.1263267939
207	0.1262223428
208	0.1260493431
209	0.1259426808
210	0.1257680256
211	0.1256258896
212	0.125456095
213	0.1252143983
214	0.1249439287
215	0.1246733811
216	0.1245431397
217	0.1243637908
218	0.1242628102
219	0.1240428289
220	0.1238363982
221	0.1236232838
222	0.1234629217
223	0.1233581803
224	0.1231026188
225	0.1229462705
226	0.1226373517
227	0.1225007212
228	0.1223499424
229	0.1221794632
230	0.1220473522
231	0.1219528222
232	0.121823097
233	0.1216629845
234	0.1215332566
235	0.1212496306
236	0.1211199992
237	0.1209424747
238	0.1207770577
239	0.1206392652
240	0.1205126399
241	0.12033612
242	0.1202407395
243	0.1200669876
244	0.1199498833
245	0.1196725911
246	0.1195625577
247	0.1193335532
248	0.1191597501
249	0.1190115125
250	0.1188580356
251	0.1187536192
252	0.118657291
253	0.1184742392
254	0.1183068208
255	0.1180603649
256	0.1178957028
257	0.1177602671
258	0.1176593749
259	0.1175497178
260	0.1174357798
261	0.1171907909
262	0.1170945003
263	0.1170409291
264	0.1169503008
265	0.1168173033
266	0.1166131412
267	0.1164748463
268	0.1163458789
269	0.1161352613
270	0.1160404301
271	0.1158604823
272	0.1158085761
273	0.1156993878
274	0.1155259842
275	0.1153515361
276	0.1151993169
277	0.1150445269
278	0.1148984008
279	0.1148069569
280	0.1147616329
281	0.1145626742
282	0.1144094827
283	0.1142988799
284	0.1141230441
285	0.1138310907
286	0.1137263037
287	0.1135964503
288	0.1134711374
289	0.1133150221
290	0.1132735365
291	0.1132019293
292	0.1130484453
293	0.1129939761
294	0.1129678262
295	0.1128823808
296	0.1127505008
297	0.1125693176
298	0.1124612178
299	0.1123073065
300	0.112220885
301	0.1121024638
302	0.112034894
303	0.1118954134
304	0.1118464188
305	0.1117661957
306	0.1115913673
307	0.1113854185
308	0.1112683799
309	0.1111428716
310	0.1110389916
311	0.1107526533
312	0.1105840468
313	0.1105374871
314	0.1103756846
315	0.1102777818
316	0.1102249526
317	0.1101630453
318	0.1100724712
319	0.1099776509
320	0.109898155
321	0.1097861804
322	0.1097272695
323	0.1095733378
324	0.1094652807
325	0.1093624852
326	0.1091576107
327	0.1089653055
328	0.1088031181
329	0.1087703045
330	0.1087400969
331	0.1086490814
332	0.1085284937
333	0.1084036899
334	0.1083745258
335	0.1082275527
336	0.1080649094
337	0.1078921506
338	0.1078076076
339	0.1077794863
340	0.1076828998
341	0.1075554701
342	0.1074419271
343	0.1073287584
344	0.1072612609
345	0.1071239846
346	0.1069658946
347	0.1067947301
348	0.106673803
349	0.1065749638
350	0.1065500391
351	0.1065248589
352	0.1065015608
353	0.1064423645
354	0.1063887835
355	0.1061710399
356	0.1060587092
357	0.1060281598
358	0.1059000283
359	0.1057575797
360	0.1056364103
361	0.1055594425
362	0.1055074233
363	0.1053612676
364	0.1052387511
365	0.1051702561
366	0.1051382014
367	0.1049841896
368	0.104836235
369	0.1048031613
370	0.1047130926
371	0.104620014
372	0.1045671056
373	0.1045447055
374	0.1045221817
375	0.1043841855
376	0.1043186006
377	0.104296411
378	0.1042427591
379	0.1041468016
380	0.1040554571
381	0.1040386394
382	0.1039694447
383	0.1038855827
384	0.1037480698
385	0.1037168106
386	0.1036491578
387	0.1034584686
388	0.103333394
389	0.1032793582
390	0.1031090763
391	0.1030800265
392	0.1029718507
393	0.1028723785
394	0.1028634538
395	0.1028373707
396	0.1026894926
397	0.1026260806
398	0.1025138012
399	0.1024084468
400	0.1022200314
401	0.1021603884
402	0.1021026941
403	0.102076258
404	0.1019455924
405	0.1017861153
406	0.1017122507
