iter	Passed	Remaining
0	7	7402
1	14	7053
2	18	6271
3	22	5714
4	27	5564
5	32	5377
6	37	5265
7	41	5146
8	46	5102
9	50	5035
10	54	4874
11	57	4744
12	61	4695
13	64	4548
14	67	4409
15	70	4336
16	72	4210
17	75	4100
18	77	4010
19	79	3894
20	81	3800
21	83	3716
22	85	3612
23	86	3510
24	87	3415
25	89	3339
26	90	3269
27	92	3199
28	93	3131
29	94	3065
30	96	3001
31	97	2940
32	98	2883
33	99	2836
34	101	2788
35	102	2746
36	103	2705
37	105	2669
38	106	2628
39	107	2589
40	109	2552
41	110	2529
42	112	2493
43	113	2461
44	114	2430
45	115	2398
46	116	2361
47	117	2330
48	118	2306
49	119	2268
50	120	2243
51	121	2220
52	122	2196
53	124	2183
54	126	2166
55	127	2145
56	128	2125
57	129	2102
58	131	2092
59	132	2074
60	133	2055
61	134	2039
62	136	2022
63	137	2004
64	138	1997
65	140	1982
66	141	1966
67	142	1959
68	144	1948
69	145	1935
70	147	1924
71	148	1913
72	149	1902
73	151	1893
74	152	1882
75	153	1868
76	155	1859
77	156	1846
78	157	1836
79	157	1815
80	159	1812
81	161	1806
82	162	1795
83	163	1784
84	165	1776
85	165	1763
86	167	1754
87	168	1743
88	169	1735
89	170	1728
90	172	1720
91	173	1715
92	174	1706
93	176	1700
94	177	1689
95	178	1683
96	180	1677
97	181	1668
98	182	1657
99	183	1649
100	184	1643
101	185	1633
102	186	1627
103	188	1623
104	190	1619
105	190	1606
106	191	1599
107	193	1594
108	194	1589
109	195	1583
110	197	1578
111	198	1572
112	199	1564
113	200	1559
114	202	1555
115	203	1547
116	204	1544
117	206	1540
118	207	1535
119	208	1531
120	210	1527
121	211	1523
122	212	1517
123	214	1512
124	214	1504
125	216	1500
126	217	1494
127	218	1490
128	219	1484
129	221	1479
130	221	1472
131	223	1467
132	224	1463
133	226	1461
134	227	1457
135	229	1456
136	230	1452
137	231	1446
138	232	1440
139	233	1435
140	234	1430
141	235	1425
142	237	1421
143	238	1418
144	239	1414
145	241	1410
146	242	1406
147	243	1402
148	245	1399
149	246	1396
150	247	1391
151	248	1388
152	250	1384
153	251	1382
154	253	1384
155	255	1381
156	256	1377
157	257	1374
158	259	1370
159	260	1366
160	261	1363
161	262	1359
162	264	1355
163	265	1352
164	266	1348
165	267	1344
166	268	1339
167	269	1336
168	270	1331
169	271	1327
170	273	1323
171	275	1325
172	276	1321
173	277	1318
174	279	1315
175	280	1312
176	281	1308
177	282	1306
178	284	1303
179	285	1301
180	286	1297
181	288	1294
182	289	1290
183	292	1297
184	294	1296
185	295	1293
186	296	1289
187	298	1287
188	299	1284
189	301	1284
190	302	1280
191	304	1282
192	305	1279
193	307	1277
194	308	1273
195	309	1270
196	311	1270
197	313	1268
198	314	1265
199	315	1262
200	317	1261
201	319	1260
202	320	1258
203	321	1254
204	322	1250
205	323	1248
206	325	1246
207	326	1243
208	328	1241
209	329	1239
210	331	1240
211	333	1238
212	335	1240
213	337	1239
214	338	1237
215	340	1235
216	341	1232
217	343	1230
218	344	1228
219	345	1226
220	346	1223
221	348	1220
222	349	1217
223	350	1215
224	352	1213
225	353	1210
226	354	1208
227	355	1205
228	356	1201
229	357	1198
230	359	1196
231	360	1192
232	361	1191
233	363	1188
234	364	1186
235	366	1187
236	367	1184
237	369	1181
238	370	1178
239	371	1177
240	373	1176
241	374	1173
242	375	1169
243	376	1167
244	378	1164
245	379	1162
246	380	1160
247	382	1158
248	383	1156
249	384	1154
250	386	1152
251	387	1149
252	388	1147
253	389	1145
254	392	1145
255	393	1142
256	394	1140
257	395	1137
258	396	1134
259	397	1131
260	398	1128
261	400	1126
262	400	1123
263	401	1120
264	403	1118
265	404	1115
266	405	1113
267	407	1112
268	408	1109
269	409	1107
270	410	1104
271	411	1102
272	412	1099
273	414	1097
274	415	1096
275	417	1095
276	418	1093
277	420	1091
278	421	1089
279	422	1087
280	424	1085
281	425	1084
282	427	1082
283	428	1080
284	429	1078
285	431	1076
286	432	1074
287	433	1072
288	435	1071
289	436	1069
290	437	1066
291	439	1064
292	440	1062
293	441	1061
294	443	1059
295	444	1056
296	445	1053
297	446	1052
298	447	1049
299	448	1047
300	450	1045
301	451	1043
302	453	1042
303	454	1040
304	455	1038
305	457	1036
306	458	1034
307	459	1033
308	460	1029
309	462	1028
310	463	1026
311	464	1024
312	465	1022
313	466	1019
314	467	1016
315	469	1016
316	470	1013
317	472	1012
318	473	1010
319	474	1008
320	475	1006
321	477	1004
322	477	1001
323	479	999
324	480	998
325	482	996
326	483	994
327	484	992
328	485	990
329	486	987
330	487	985
331	488	982
332	489	980
333	491	979
334	492	976
335	493	975
336	494	973
337	495	971
338	496	968
339	497	966
340	499	964
341	500	962
342	501	960
343	502	958
344	504	957
345	506	956
346	507	955
347	509	953
348	510	952
349	511	950
350	512	948
351	513	945
352	514	943
353	515	941
354	517	939
355	518	938
356	519	936
357	521	934
358	522	933
359	524	931
360	525	929
361	526	927
362	527	925
363	528	923
364	529	921
365	531	920
366	532	918
367	533	916
368	535	914
369	535	912
370	537	910
371	538	908
372	539	906
373	540	903
374	540	901
375	542	899
376	543	897
377	544	895
378	545	893
379	546	891
380	547	889
381	548	886
382	549	884
383	550	882
384	551	880
385	552	878
386	553	876
387	554	874
388	555	872
389	556	870
390	557	869
391	559	867
392	560	865
393	561	864
394	562	861
395	563	859
396	564	857
397	565	856
398	567	855
399	569	853
400	570	852
401	572	851
402	573	849
403	574	847
404	575	845
405	577	844
406	578	842
407	579	840
408	580	838
409	581	836
410	582	834
411	584	833
412	584	831
413	586	830
414	588	828
415	588	826
416	590	825
417	591	823
418	592	821
419	593	820
