ID,Current Position,Targeted Position,Total Working Experience,Candidate Level,Domisili,Education 1,Education 2,Education 3,Expected Benefit Botom,Expected Benefit Up,Notice Period,Tech Stack,Certification,Estimate Bottom,Estimate Up
SKU-WENU1319,Web Developer,,2,Junior,Bandung,"UNIVERSITAS TERBUKA (2023-2027)
Bachelor of Sistem Informasi","SMK Negeri 2 Tasikmalaya (2019 - 2023)
Sistem Informatika Jaringan dan Aplikasi",,0,0,,"HTML ,CSS ,Javascript(ReactJs) ,Jquery ,Ajax ,FrameworkCSS(Bootstrap,Tailwind) ,APIs ,SEO ,Programming language (PHP,Node.js) ,ThreeJs","[""Junior Web Developer, Digitalent Scholarship, No : 19362131140-91/VSGA/BLSDM\nKOMINFO/2023""]",6000000.0,9000000.0
SKU-FUNU1303,Full Stack Developer,,1,Mid-Level,Bandung,Padjadjaran University 2017-2021,,,0,0,,"Laravel, Phalcon, Python, Django, Next.Js, Tailwind CSS, REST API, Jquery, AJAX, React.js, Vue.js, Git, Data Analytics, MySQL, MongoDB","[""Google Data Analytics, Coursera Jul 2023"",""Learning Machine Learning for Beginners, Dicoding Sept 2023"",""Getting Started with Python Programming, Dicoding Sept 2023"",""Getting Started with Kotlin Programming, Dicoding Jul 2023"",""Learning to Create Back-End Applications for Beginners, Dicoding May 2023"",""Learning Basic Javascript Programming, Dicoding May 2023"",""Learning Basic Data Visualization, Dicoding Sept 2023""]",8000000.0,12000000.0
SKU-JUNU1052,Junior Web Developer,,0,Junior,"Semarang, Jawa Tengah","Universitas Negeri Semarang (2019 - 2024)
S1 Teknik Elektro - IPK 3,59","Purwadhika Digital Technology School (2024)
Full-stack Web Developer",,0,0,,"JavaScript, Prisma ORM, TypeScript, MySQL, React.js, Tailwind CSS, Next.js, Git, Express.js, GitHub, HTML","[""Full-stack Web Developer""]",4000000.0,6000000.0
SKU-JANU420,Java Developer,,0,Junior,Bandung,"Bachelor's degree, Universitas Pendidikan Indonesia, August 2024",,,0,0,,"React, JavaScript, Mobile Application Software, Digital Technology, Git, Java (Programming Language), Technical Support, RPL (Programming Language), Computer Engineering, Computer Programming, Databases, MySQL, Restful APIs, Knowledge of Engineering, Kotlin, Data Structures, Laravel, PHP (Programming Language), SQL Databases, Customer Support",[],6000000.0,9000000.0
SKU-NUNU1182,,,4,Mid-Level,Bandung,"Ilmu Komputer, Universitas Pendidikan Indonesia, 2020",,,0,0,,"PHP, Python, Java, Javascript, Go, C#, Laravel, Echo, Next.js, ASP .NET, Django, Flask, SQL Server, MySql, PostgreSQL, MongoDB, Stored Procedure, Kotlin, Java (Android Studio), React.js",[],8000000.0,12000000.0
SKU-TETE087,Technical Writer,Technical Writer,3,Mid-Level,Bandung,"Politeknik Negeri Subang - Associate Degree in Informatics Management, 3.65/4.00 - Sep 2022",,,0,0,,"Microsoft Office Suite, Figma, Canva, Adobe XD, Adobe AI, Ibis Paint X, JIRA, Confluence, Trello, ClickUp",[],6000000.0,9000000.0
SKU-FUNU1394,Full-stack Software Engineer/Mobile App Engineer,,7,Mid-Level,Mataram,"STMIK AKAKOM, Yogyakarta, ID, Information Technology (Bachelor Degree), Aug 2010",,,0,0,,"Java, Kotlin, Swift, Dart, Flutter, Unit Testing, Debugging/Profiling, git, Jira, Android Studio, Visual Studio Code, XCode, Github action, Bitrise, Fastlane, REST API, Tensor Flow, Robolectric, OpenCV for Java, CameraX, Camera2, Google Play Service, App Store Connect, Braze, Figma, Crashlytics, Firebase, Android, iOS, Web, Backend",[],12000000.0,20000000.0
SKU-NUAN267,,Android Developer,0,Junior,"Palembang, Indonesia","Sriwijaya University - Palembang, Indonesia August 2021 - February 2025
Bachelor of Computer Science in Informatics - GPA 3.96/4.00","Bangkit Academy by Google, Tokopedia & Traveloka August 2023 – January 2024
Mobile Development Path - Independent Study Program of Kampus Merdeka",,0,0,,"Kotlin, Java, Python, MySQL, Firebase, SQLite, RESTful APIs, Algorithms, Data Structures, Object-Oriented Programming, SOLID, Git, Github","[""Belajar Fundamental Aplikasi Android - Dicoding September 2023"",""Mobile Development - Bangkit Academy January 2024"",""Android Developer Expert - Dicoding March 2024""]",4000000.0,7000000.0
SKU-SONU498,Software Quality Assurance Manual Tester,,1,Junior,"Jakarta, Indonesia",Universitas Indraprasta PGRI - S1 (Strata 1) Teknik Informatika 08/2019 - 08/2023,,,0,0,,"Pengujian Manual, Dokumentasi Pengujian, Analisis Bug, tools Managemen Project, Komunikasi, Keterampilan Teknis, Analisis Kualitas","[""Quality Assurance SanberCode 04/2025 - 05/2025"",""Microsoft Office Untuk Pegawai Perkantoran Skill Academy By Ruangguru 04/2024 - 05/2024""]",4000000.0,6000000.0
SKU-NUNU1453,,,1,Junior,,INSTITUT TEKNOLOGI NASIONAL BANDUNG (AUG 2016 - SEP 2022) INFORMATICS ENGINEERING - GPA 3.63 OUT OF 4.00,"BINAR ACADEMY, IN PROGRESS (AUG 2022 - DES 2022) B0OTCAMP FRONT-END ENGINEERING",,0,0,,"HTML, CSS, JavaScript, React.js, Laravel, SQL, Typescript","[""Bootcamp Frontend Engineering - Binar Academy (2022)"",""Pelatihan Mengembangkan Website Menggunakan Framework Laravel - Karisma Akademi (2023)""]",5000000.0,8000000.0
