ID,Estimate Bottom,Estimate Up
SKU-WENU549,5266402.350019324,8284541.135940842
SKU-NUNU771,4467864.72748183,7274907.194800593
SKU-COBA050,8079435.511798762,11264964.348175555
SKU-FLNU1398,8377505.094969294,12617527.023805127
SKU-FUBA143,8755420.418143194,12449395.584760424
SKU-FUNU630,8480359.596925454,13521197.306990689
SKU-FUNU1067,5295471.555492283,8312516.517870209
SKU-FUNU810,7971261.779945177,12006814.957166348
SKU-NUNU1023,4621352.395195574,7321734.839338404
SKU-BANU1341,5525412.066900263,8362931.967181028
SKU-WENU891,4959326.2302518515,7801126.536501125
SKU-MONU964,8464609.43405155,13061722.170164961
SKU-SONU618,9030991.254058778,13538599.31010817
SKU-SONU855,8981699.78699164,12678731.087231115
SKU-FRFR170,7888431.63840236,12382861.373875152
SKU-SONU385,9251232.619576704,14152940.78998709
SKU-NUNU1340,4357548.6540438635,6866219.813869368
SKU-WENU1167,8021763.988957825,12076464.304240042
SKU-NUNU249,3594811.921228064,5673450.396602314
SKU-JUNU1005,4869947.408582605,7425990.793258578
SKU-TEFU116,8049751.06148437,11613445.05425779
SKU-ITNU066,8057307.329919096,12955250.203368548
SKU-FUNU659,4616860.445111889,7151606.172316599
SKU-PRNU667,7877593.490573558,11862750.663790507
SKU-FUNU826,7965090.268651781,12916213.543441204
SKU-SENU272,18380050.057703182,30889173.697461884
SKU-MANU590,3691197.825986064,5436499.41703649
SKU-SONU1063,4315756.040703573,7004076.8638972305
SKU-FUNU804,5132044.09005946,8430147.909439337
SKU-ASBA052,8314518.470677847,12576899.90347943
SKU-TENU970,18046566.626367748,30462371.88697617
SKU-FRNU680,8243026.664483528,13583462.768232064
SKU-FUFU241,5421791.862239766,8538922.719403721
SKU-BUNU1349,8269150.684225916,12670514.830218742
SKU-BANU763,6131738.743116533,9101856.10041323
SKU-ADNU371,7953901.103618803,11907554.980113842
SKU-NUNU1105,5541920.451547712,8220530.818808271
SKU-FRNU314,4628164.519317504,7907611.815309558
SKU-DANU357,4026873.865135771,6374405.559653562
SKU-FUBA068,5156429.969433888,7829811.430725867
SKU-BAFU242,8296672.379783035,14382679.24118546
SKU-SONU1353,4429233.66542146,6921393.449632241
SKU-TENU781,8294382.193607731,12785884.973846778
SKU-ITNU638,4357799.080045173,6952481.488665513
SKU-INNU1419,8290764.056013127,13022991.685259268
SKU-SENU875,19440981.016267676,28950297.53578534
SKU-MONU276,9176462.747851258,15181215.03916492
SKU-MANU532,3690231.855087162,5711422.966883649
SKU-ACQA124,4315586.667092495,6773657.44104958
SKU-FUFU1458,5103095.9799101595,8084263.27153379
SKU-SONU732,5947199.571764801,9341590.270533707
SKU-ANNU430,8064445.090643327,11927655.605868647
SKU-PRNU1125,6367857.455277516,9966915.045830822
SKU-SONU320,7999404.463684504,11944163.407729456
SKU-MONU279,10387117.82130941,16074346.573247047
SKU-QUNU030,8004102.00539793,11966061.360500177
SKU-FLNU693,9215145.620764602,13651025.957203357
SKU-FUNU866,4894532.064050833,7765475.617650187
SKU-FUNU744,5750042.027341483,8858813.222177658
SKU-SENU729,8034706.983841015,12260550.530475684
SKU-TENU273,7932943.12202219,11874748.861673236
SKU-MANU1356,7726049.024708376,11552264.561097607
SKU-FRNU614,4294815.1844643485,7144600.211828217
SKU-TETE077,7506369.767036065,11359465.88530145
SKU-FRNU578,8053762.405671651,12187756.351684012
SKU-HENU433,4428125.736442907,6861218.264963769
SKU-NUNU536,3397297.48842056,5645556.158320444
SKU-APNU609,8076785.914145149,11403869.430151293
SKU-FUNU646,7946996.85533452,12292841.994805867
SKU-CONU374,4134591.1362308725,6339229.0151547035
SKU-SONU419,7947783.642438034,12768022.417908104
SKU-ITNU953,7983413.0099090105,11780807.857505454
SKU-KENU518,4237667.006201429,6463352.716057099
SKU-FRNU813,7986846.78020461,11744349.999068534
SKU-NUNU588,3035283.739560616,4835696.009900048
SKU-JUNU633,5363708.620232308,8703193.950181115
SKU-TETE045,4223526.579536092,6510054.342506799
SKU-ITSY060,7978218.442651066,11925133.268420767
SKU-SONU1104,8270681.242665598,13080079.422753483
SKU-SOBA194,8878116.438543627,13387692.736517139
SKU-WENU1071,7991551.113398586,11912623.53226783
SKU-FUNU1307,4651235.582679706,7536174.546508724
SKU-NUNU1015,4920546.165712728,7514959.576604988
SKU-FUNU635,8004995.599881026,12317573.07611322
SKU-NUNU1119,6039340.304182702,9257442.755184745
SKU-SONU886,8139298.747644404,12259466.370825212
SKU-NUNU1050,4190157.7227351335,6426186.794893241
SKU-WENU1451,7957249.263317393,11821685.545897668
SKU-QUNU367,5762000.71749265,8784211.158663755
SKU-TENU984,8529349.352368139,13532052.669567408
SKU-FUNU612,8309480.485162835,13883353.399224961
SKU-QUNU688,4784494.50249026,7525293.527443995
SKU-SONU079,7956462.129682789,11787740.131091317
SKU-IONU920,11203882.66087063,17638395.241688587
SKU-FUNU623,8611947.03544892,15039189.717089504
SKU-HENU455,16346988.314402195,27225035.517512262
SKU-QUNU354,8169627.290061389,12019144.058471495
SKU-SEAN263,19562385.654448777,31661951.8294452
SKU-MANU409,4669521.514524128,7511868.489432663
SKU-FRNU1069,4440350.65327957,7496864.986038318
SKU-QUNU071,5187795.0578189,7493443.637621554
SKU-TOAD016,3010010.557265681,4740064.800451957
SKU-MENU1181,8547232.362249186,13664297.694995828
SKU-WENU955,7952003.485957314,11782153.94744988
SKU-DANU355,14326062.54900815,23401867.852957763
SKU-TENU326,7832601.498428214,11768210.086061036
SKU-FRNU876,5280051.7951213615,8085528.2575206645
SKU-ANNU918,8049056.51626966,11998607.039656943
SKU-FRNU386,9123890.267509805,13422221.701325793
SKU-PRNU437,5600283.645538269,8105963.645006362
SKU-IONU882,10439793.161084944,16684052.921159847
SKU-SONU802,7981634.209604737,11950806.076986048
SKU-PRNU1058,8129263.183429668,12345035.119103802
SKU-BABA186,9220785.135162435,13211623.659857472
SKU-NUNU799,4411069.790972749,7412513.099846483
SKU-FRNU846,7971236.124689052,12695792.354216062
SKU-FUNU927,8253662.955611241,12126191.050956395
SKU-FUNU1064,7801358.385991709,11942075.351883007
SKU-SYFU200,5008687.058783865,7814986.551169937
SKU-FUNU1439,7929059.067474113,11880669.28147009
SKU-BANU1423,7974754.886114843,12340993.123153899
SKU-FRBA426,3884794.186398707,6513117.587407366
SKU-WENU531,4518773.383188632,7110509.622625843
SKU-NUNU1001,3633070.0736415125,5901260.434445187
SKU-STNU1072,4958112.0519090835,7476533.125949993
SKU-SONU1091,8141899.66130997,12195086.996178161
SKU-ITNU510,14534270.17020318,24553125.456465423
SKU-STNU1257,15742732.269184101,24976357.899030037
SKU-NUNU432,4376719.846006472,6766600.374726228
SKU-FRNU932,7803229.878462029,12809825.960175352
SKU-ANNU841,8520542.11279602,13868007.37750745
SKU-STNU923,4559512.596318075,6964189.833162136
SKU-NUNU1047,3789674.6793419514,6063972.406040929
SKU-FUNU559,8398137.43422454,12893756.23363068
SKU-TETE044,7702691.624909012,11642196.065297162
SKU-FRNU1206,5474023.9220805755,8425977.161611076
SKU-ITNU1046,8222957.2474962175,12149222.636194639
SKU-ITNU980,5605191.604818964,8269641.057953971
SKU-ENNU862,7946806.24048259,11614945.819448689
SKU-TENU102,4210110.338929376,6417388.897791016
SKU-BAFU246,5984228.273351515,9158862.079904959
SKU-SRNU560,7972989.695224763,12048329.424658157
SKU-NUNU1054,4649218.413883237,7284008.769479984
SKU-APNU1403,5918919.956455998,8855843.865370665
SKU-MANU581,3694352.1472215196,5648668.555955934
SKU-.NNU466,8503928.852080816,13570761.565927193
SKU-NUNU398,4567946.389057707,7033506.585943742
SKU-NUNU995,4261585.8511486985,6874339.757828866
SKU-KENU129,3477157.8377237264,5031498.968881205
SKU-NUFU205,13997871.249865212,23008981.362554252
SKU-FUNU915,4944401.387165944,7677073.743534735
SKU-FUNU1424,8505471.790949533,12984742.039142964
SKU-WENU1129,7626060.744198484,11155216.937452301
SKU-QUNU424,5219142.817679506,7627635.611874592
SKU-JANU427,9265808.600708818,14972522.93719886
SKU-FUFU177,17755122.37655185,27022323.069611184
SKU-QAFU033,7981239.179064563,11906606.506466666
SKU-SENU644,16661680.464919627,29736268.51486903
SKU-FUNU902,8003251.438172375,12706218.708710667
SKU-PRNU1051,4833111.255984415,7223604.433725754
SKU-WENU1450,5138215.26946226,7763817.521752985
SKU-LENU797,9041063.803755663,12688890.72108851
SKU-NUNU501,5141402.620920058,7294421.055796939
SKU-MONU864,17215902.347487647,28976358.833599668
SKU-TENU375,7918704.631122884,11565707.211102672
SKU-FUNU1172,6002130.00057563,8482607.525360819
SKU-OPTE310,3149912.760499373,4862609.524938465
SKU-FRFR165,8137685.921722331,13346149.937429743
SKU-QUNU1366,5331856.683005955,7787950.3770396495
SKU-ANNU963,8517605.57723389,13175562.980652165
SKU-TENU434,7951646.414496545,11552595.767914131
SKU-BANU735,6169740.48608969,9112149.937344879
SKU-FRFU220,9428164.1921346,13323385.059212537
SKU-FRNU563,7990669.091773292,12260569.421367854
SKU-FRFR233,8021975.899789136,12080814.029677419
SKU-NUNU300,4549305.573840639,7201270.479166279
SKU-HENU1183,8093346.780883213,12964355.504306553
SKU-SONU654,7999213.927456246,11932527.904122751
SKU-STNU457,3411112.7816821486,5349738.031765805
SKU-MANU597,3672377.8230469795,5411853.702878782
SKU-.NBA064,7984181.751236105,12692293.218763273
SKU-FRNU665,5632083.462043264,8205689.915613085
SKU-FUNU929,5422903.2809041105,8455421.487055933
SKU-BABA222,8544861.851336047,13413246.79024537
SKU-WENU626,4673416.893321938,7145258.412944666
SKU-PRNU429,8504890.252345929,14389863.866642777
SKU-FUNU1430,8095227.332851173,12794513.455997994
SKU-MINU737,8101519.6021576105,12357219.663082428
SKU-SENU824,16291369.417493757,24814093.922062196
SKU-NUNU774,3729619.930563745,6230577.168785069
SKU-FRNU555,8684607.571719768,13402099.774286615
SKU-FUNU819,8555391.197045445,13108945.630981106
SKU-NUBA031,4017537.5580150834,6257423.545746084
SKU-SONU057,8041518.4604478795,11956880.439468164
SKU-OFNU1186,8601021.920476763,12135198.6274354
SKU-FUNU1467,8002878.968376228,12217289.192429023
SKU-SYNU926,7951062.212420905,11515421.037268076
SKU-ITNU631,8559925.67766754,12813292.114485035
